EB_level,priority_date,visa_bulletin_date,table_type,raw_value,status,visa_wait_time,raw_category
EB1,2023-12-01,2026-07-01 00:00:00,dates_for_filing,01DEC23,F,2.5817932922655715,1st
EB2,2015-01-15,2026-07-01 00:00:00,dates_for_filing,15JAN15,F,11.457905544147843,2nd
EB3,2015-01-15,2026-07-01 00:00:00,dates_for_filing,15JAN15,F,11.457905544147843,3rd
EB3_OW,2015-01-15,2026-07-01 00:00:00,dates_for_filing,15JAN15,F,11.457905544147843,Other Workers
EB4,2023-01-01,2026-07-01 00:00:00,dates_for_filing,01JAN23,F,3.4962354551676933,4th
EB4_RW,2023-01-01,2026-07-01 00:00:00,dates_for_filing,01JAN23,F,3.4962354551676933,Certain Religious Workers
EB5_HIGHUNEMP,2026-07-01,2026-07-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-07-01,2026-07-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-07-01,2026-07-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-07-01 00:00:00,dates_for_filing,01MAY24,F,2.1656399726214923,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-10-15,2026-07-01 00:00:00,final_action,15OCT22,F,3.7097878165639973,1st
EB2,,2026-07-01 00:00:00,final_action,U,U,,2nd
EB3,2014-01-01,2026-07-01 00:00:00,final_action,01JAN14,F,12.49555099247091,3rd
EB3_OW,2014-01-01,2026-07-01 00:00:00,final_action,01JAN14,F,12.49555099247091,Other Workers
EB4,2022-09-15,2026-07-01 00:00:00,final_action,15SEP22,F,3.79192334017796,4th
EB4_RW,2022-09-15,2026-07-01 00:00:00,final_action,15SEP22,F,3.79192334017796,Certain Religious Workers
EB5_HIGHUNEMP,2026-07-01,2026-07-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-07-01,2026-07-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-07-01,2026-07-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,,2026-07-01 00:00:00,final_action,U,U,,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-12-01,2026-06-01 00:00:00,dates_for_filing,01DEC23,F,2.4996577686516086,1st
EB2,2015-01-15,2026-06-01 00:00:00,dates_for_filing,15JAN15,F,11.375770020533881,2nd
EB3,2015-01-15,2026-06-01 00:00:00,dates_for_filing,15JAN15,F,11.375770020533881,3rd
EB3_OW,2015-01-15,2026-06-01 00:00:00,dates_for_filing,15JAN15,F,11.375770020533881,Other Workers
EB4,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304,4th
EB4_RW,2023-01-01,2026-06-01 00:00:00,dates_for_filing,01JAN23,F,3.4140999315537304,Certain Religious Workers
EB5_HIGHUNEMP,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-06-01,2026-06-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-06-01 00:00:00,dates_for_filing,01MAY24,F,2.083504449007529,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-12-15,2026-06-01 00:00:00,final_action,15DEC22,F,3.460643394934976,1st
EB2,2013-09-01,2026-06-01 00:00:00,final_action,01SEP13,F,12.747433264887064,2nd
EB3,2013-12-15,2026-06-01 00:00:00,final_action,15DEC13,F,12.459958932238193,3rd
EB3_OW,2013-12-15,2026-06-01 00:00:00,final_action,15DEC13,F,12.459958932238193,Other Workers
EB4,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877,4th
EB4_RW,2022-07-15,2026-06-01 00:00:00,final_action,15JUL22,F,3.8795345653661877,Certain Religious Workers
EB5_HIGHUNEMP,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-06-01,2026-06-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-06-01 00:00:00,final_action,01MAY22,F,4.084873374401095,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-12-01,2026-05-01 00:00:00,dates_for_filing,01DEC23,F,2.414784394250513,1st
EB2,2015-01-15,2026-05-01 00:00:00,dates_for_filing,15JAN15,F,11.290896646132786,2nd
EB3,2015-01-15,2026-05-01 00:00:00,dates_for_filing,15JAN15,F,11.290896646132786,3rd
EB3_OW,2015-01-15,2026-05-01 00:00:00,dates_for_filing,15JAN15,F,11.290896646132786,Other Workers
EB4,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354,4th
EB4_RW,2023-01-01,2026-05-01 00:00:00,dates_for_filing,01JAN23,F,3.3292265571526354,Certain Religious Workers
EB5_HIGHUNEMP,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-05-01,2026-05-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-05-01 00:00:00,dates_for_filing,01MAY24,F,1.998631074606434,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-04-01,2026-05-01 00:00:00,final_action,01APR23,F,3.082819986310746,1st
EB2,2014-07-15,2026-05-01 00:00:00,final_action,15JUL14,F,11.794661190965092,2nd
EB3,2013-11-15,2026-05-01 00:00:00,final_action,15NOV13,F,12.457221081451062,3rd
EB3_OW,2013-11-15,2026-05-01 00:00:00,final_action,15NOV13,F,12.457221081451062,Other Workers
EB4,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922,4th
EB4_RW,2022-07-15,2026-05-01 00:00:00,final_action,15JUL22,F,3.7946611909650922,Certain Religious Workers
EB5_HIGHUNEMP,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-05-01,2026-05-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-05-01 00:00:00,final_action,01MAY22,F,4.0,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-12-01,2026-04-01 00:00:00,dates_for_filing,01DEC23,F,2.3326488706365502,1st
EB2,2015-01-15,2026-04-01 00:00:00,dates_for_filing,15JAN15,F,11.208761122518823,2nd
EB3,2015-01-15,2026-04-01 00:00:00,dates_for_filing,15JAN15,F,11.208761122518823,3rd
EB3_OW,2015-01-15,2026-04-01 00:00:00,dates_for_filing,15JAN15,F,11.208761122518823,Other Workers
EB4,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672,4th
EB4_RW,2023-01-01,2026-04-01 00:00:00,dates_for_filing,01JAN23,F,3.247091033538672,Certain Religious Workers
EB5_HIGHUNEMP,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-04-01,2026-04-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-04-01 00:00:00,dates_for_filing,01MAY24,F,1.9164955509924708,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-04-01,2026-04-01 00:00:00,final_action,01APR23,F,3.0006844626967832,1st
EB2,2014-07-15,2026-04-01 00:00:00,final_action,15JUL14,F,11.71252566735113,2nd
EB3,2013-11-15,2026-04-01 00:00:00,final_action,15NOV13,F,12.375085557837098,3rd
EB3_OW,2013-11-15,2026-04-01 00:00:00,final_action,15NOV13,F,12.375085557837098,Other Workers
EB4,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293,4th
EB4_RW,2022-07-15,2026-04-01 00:00:00,final_action,15JUL22,F,3.7125256673511293,Certain Religious Workers
EB5_HIGHUNEMP,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-04-01,2026-04-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-04-01 00:00:00,final_action,01MAY22,F,3.917864476386037,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-12-01,2026-03-01 00:00:00,dates_for_filing,01DEC23,F,2.2477754962354553,1st
EB2,2014-11-01,2026-03-01 00:00:00,dates_for_filing,01NOV14,F,11.329226557152635,2nd
EB3,2014-08-15,2026-03-01 00:00:00,dates_for_filing,15AUG14,F,11.542778918548938,3rd
EB3_OW,2014-08-15,2026-03-01 00:00:00,dates_for_filing,15AUG14,F,11.542778918548938,Other Workers
EB4,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577,4th
EB4_RW,2023-01-01,2026-03-01 00:00:00,dates_for_filing,01JAN23,F,3.162217659137577,Certain Religious Workers
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-03-01 00:00:00,dates_for_filing,01MAY24,F,1.8316221765913758,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-03-01,2026-03-01 00:00:00,final_action,01MAR23,F,3.0006844626967832,1st
EB2,2013-09-15,2026-03-01 00:00:00,final_action,15SEP13,F,12.457221081451062,2nd
EB3,2013-11-15,2026-03-01 00:00:00,final_action,15NOV13,F,12.290212183436003,3rd
EB3_OW,2013-11-15,2026-03-01 00:00:00,final_action,15NOV13,F,12.290212183436003,Other Workers
EB4,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515,4th
EB4_RW,2021-07-15,2026-03-01 00:00:00,final_action,15JUL21,F,4.6269678302532515,Certain Religious Workers
EB5_HIGHUNEMP,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-03-01,2026-03-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-03-01 00:00:00,final_action,01MAY22,F,3.8329911019849416,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-08-01,2026-02-01 00:00:00,dates_for_filing,01AUG23,F,2.5051334702258727,1st
EB2,2013-12-01,2026-02-01 00:00:00,dates_for_filing,01DEC13,F,12.16974674880219,2nd
EB3,2014-08-15,2026-02-01 00:00:00,dates_for_filing,15AUG14,F,11.46611909650924,3rd
EB3_OW,2014-08-15,2026-02-01 00:00:00,dates_for_filing,15AUG14,F,11.46611909650924,Other Workers
EB4,2021-03-15,2026-02-01 00:00:00,dates_for_filing,15MAR21,F,4.884325804243669,4th
EB4_RW,,2026-02-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-02-01 00:00:00,dates_for_filing,01MAY24,F,1.754962354551677,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-02-01,2026-02-01 00:00:00,final_action,01FEB23,F,3.0006844626967832,1st
EB2,2013-07-15,2026-02-01 00:00:00,final_action,15JUL13,F,12.550308008213552,2nd
EB3,2013-11-15,2026-02-01 00:00:00,final_action,15NOV13,F,12.213552361396303,3rd
EB3_OW,2013-11-15,2026-02-01 00:00:00,final_action,15NOV13,F,12.213552361396303,Other Workers
EB4,2021-01-01,2026-02-01 00:00:00,final_action,01JAN21,F,5.084188911704312,4th
EB4_RW,,2026-02-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-02-01,2026-02-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-02-01 00:00:00,final_action,01MAY22,F,3.756331279945243,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-08-01,2026-01-01 00:00:00,dates_for_filing,01AUG23,F,2.4202600958247777,1st
EB2,2013-12-01,2026-01-01 00:00:00,dates_for_filing,01DEC13,F,12.084873374401095,2nd
EB3,2014-08-15,2026-01-01 00:00:00,dates_for_filing,15AUG14,F,11.381245722108146,3rd
EB3_OW,2014-08-15,2026-01-01 00:00:00,dates_for_filing,15AUG14,F,11.381245722108146,Other Workers
EB4,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,4th
EB4_RW,2021-03-15,2026-01-01 00:00:00,dates_for_filing,15MAR21,F,4.799452429842574,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2024-05-01,2026-01-01 00:00:00,dates_for_filing,01MAY24,F,1.6700889801505818,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2023-02-01,2026-01-01 00:00:00,final_action,01FEB23,F,2.915811088295688,1st
EB2,2013-07-15,2026-01-01 00:00:00,final_action,15JUL13,F,12.465434633812457,2nd
EB3,2013-11-15,2026-01-01 00:00:00,final_action,15NOV13,F,12.128678986995208,3rd
EB3_OW,2013-11-15,2026-01-01 00:00:00,final_action,15NOV13,F,12.128678986995208,Other Workers
EB4,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,4th
EB4_RW,2021-01-01,2026-01-01 00:00:00,final_action,01JAN21,F,4.999315537303217,Certain Religious Workers
EB5_HIGHUNEMP,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2026-01-01,2026-01-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2022-05-01,2026-01-01 00:00:00,final_action,01MAY22,F,3.671457905544148,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-04-15,2025-12-01 00:00:00,dates_for_filing,15APR23,F,2.631074606433949,1st
EB2,2013-12-01,2025-12-01 00:00:00,dates_for_filing,01DEC13,F,12.0,2nd
EB3,2014-08-15,2025-12-01 00:00:00,dates_for_filing,15AUG14,F,11.29637234770705,3rd
EB3_OW,2014-08-15,2025-12-01 00:00:00,dates_for_filing,15AUG14,F,11.29637234770705,Other Workers
EB4,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,4th
EB4_RW,2021-02-15,2025-12-01 00:00:00,dates_for_filing,15FEB21,F,4.791238877481177,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2022-04-01,2025-12-01 00:00:00,dates_for_filing,01APR22,F,3.668720054757016,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-03-15,2025-12-01 00:00:00,final_action,15MAR22,F,3.7152635181382614,1st
EB2,2013-05-15,2025-12-01 00:00:00,final_action,15MAY13,F,12.54757015742642,2nd
EB3,2013-09-22,2025-12-01 00:00:00,final_action,22SEP13,F,12.191649555099247,3rd
EB3_OW,2013-09-22,2025-12-01 00:00:00,final_action,22SEP13,F,12.191649555099247,Other Workers
EB4,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,4th
EB4_RW,2020-09-01,2025-12-01 00:00:00,final_action,01SEP20,F,5.248459958932238,Certain Religious Workers
EB5_HIGHUNEMP,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-12-01,2025-12-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2021-07-01,2025-12-01 00:00:00,final_action,01JUL21,F,4.418891170431212,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-04-15,2025-11-01 00:00:00,dates_for_filing,15APR23,F,2.5489390828199863,1st
EB2,2013-12-01,2025-11-01 00:00:00,dates_for_filing,01DEC13,F,11.917864476386036,2nd
EB3,2014-08-15,2025-11-01 00:00:00,dates_for_filing,15AUG14,F,11.214236824093087,3rd
EB3_OW,2014-08-15,2025-11-01 00:00:00,dates_for_filing,15AUG14,F,11.214236824093087,Other Workers
EB4,2021-02-15,2025-11-01 00:00:00,dates_for_filing,15FEB21,F,4.7091033538672145,4th
EB4_RW,,2025-11-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2022-04-01,2025-11-01 00:00:00,dates_for_filing,01APR22,F,3.586584531143053,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-02-15,2025-11-01 00:00:00,final_action,15FEB22,F,3.7097878165639973,1st
EB2,2013-04-01,2025-11-01 00:00:00,final_action,01APR13,F,12.58590006844627,2nd
EB3,2013-08-22,2025-11-01 00:00:00,final_action,22AUG13,F,12.19438740588638,3rd
EB3_OW,2013-08-22,2025-11-01 00:00:00,final_action,22AUG13,F,12.19438740588638,Other Workers
EB4,2020-07-01,2025-11-01 00:00:00,final_action,01JUL20,F,5.336071184120465,4th
EB4_RW,,2025-11-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-11-01,2025-11-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2021-02-01,2025-11-01 00:00:00,final_action,01FEB21,F,4.747433264887063,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2023-04-15,2025-10-01 00:00:00,dates_for_filing,15APR23,F,2.4640657084188913,1st
EB2,2013-12-01,2025-10-01 00:00:00,dates_for_filing,01DEC13,F,11.832991101984941,2nd
EB3,2014-08-15,2025-10-01 00:00:00,dates_for_filing,15AUG14,F,11.129363449691992,3rd
EB3_OW,2014-08-15,2025-10-01 00:00:00,dates_for_filing,15AUG14,F,11.129363449691992,Other Workers
EB4,2021-02-15,2025-10-01 00:00:00,dates_for_filing,15FEB21,F,4.6242299794661195,4th
EB4_RW,,2025-10-01 00:00:00,dates_for_filing,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2022-04-01,2025-10-01 00:00:00,dates_for_filing,01APR22,F,3.5017111567419574,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-02-15,2025-10-01 00:00:00,final_action,15FEB22,F,3.6249144421629023,1st
EB2,2013-04-01,2025-10-01 00:00:00,final_action,01APR13,F,12.501026694045175,2nd
EB3,2013-08-22,2025-10-01 00:00:00,final_action,22AUG13,F,12.109514031485284,3rd
EB3_OW,2013-08-22,2025-10-01 00:00:00,final_action,22AUG13,F,12.109514031485284,Other Workers
EB4,2020-07-01,2025-10-01 00:00:00,final_action,01JUL20,F,5.25119780971937,4th
EB4_RW,,2025-10-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-10-01,2025-10-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2021-02-01,2025-10-01 00:00:00,final_action,01FEB21,F,4.662559890485968,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2022-04-15,2025-09-01 00:00:00,dates_for_filing,15APR22,F,3.381245722108145,1st
EB2,2013-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB13,F,12.580424366872005,2nd
EB3,2013-06-08,2025-09-01 00:00:00,dates_for_filing,08JUN13,F,12.232717316906228,3rd
EB3_OW,2013-06-08,2025-09-01 00:00:00,dates_for_filing,08JUN13,F,12.232717316906228,Other Workers
EB4,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055,4th
EB4_RW,2021-02-01,2025-09-01 00:00:00,dates_for_filing,01FEB21,F,4.5804243668720055,Certain Religious Workers
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2022-04-01,2025-09-01 00:00:00,dates_for_filing,01APR22,F,3.4195756331279945,"5th Unreserved
(including C5, T5, I5, R5)"
EB1,2022-02-15,2025-09-01 00:00:00,final_action,15FEB22,F,3.542778918548939,1st
EB2,2013-01-01,2025-09-01 00:00:00,final_action,01JAN13,F,12.6652977412731,2nd
EB3,2013-05-22,2025-09-01 00:00:00,final_action,22MAY13,F,12.279260780287474,3rd
EB3_OW,2013-05-22,2025-09-01 00:00:00,final_action,22MAY13,F,12.279260780287474,Other Workers
EB4,,2025-09-01 00:00:00,final_action,U,U,,4th
EB4_RW,,2025-09-01 00:00:00,final_action,U,U,,Certain Religious Workers
EB5_HIGHUNEMP,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
High Unemployment (10%, including NH, RH)"
EB5_INFRA,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Infrastructure (2%, including RI)"
EB5_RURAL,2025-09-01,2025-09-01 00:00:00,final_action,C,C,0.0,"5th Set Aside:
Rural (20%, including NR, RR)"
EB5_UNRESERVED,2019-11-15,2025-09-01 00:00:00,final_action,15NOV19,F,5.796030116358659,"5th Unreserved
(including C5, T5, I5, R5, NU, RU)"
EB1,2022-04-15,2025-08-01 00:00:00,dates_for_filing,15APR22,F,3.29637234770705,1st
EB2,2013-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB13,F,12.49555099247091,2nd
EB3,2013-06-08,2025-08-01 00:00:00,dates_for_filing,08JUN13,F,12.147843942505133,3rd
EB3_OW,2013-06-08,2025-08-01 00:00:00,dates_for_filing,08JUN13,F,12.147843942505133,Other Workers
EB4,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105,4th
EB4_RW,2021-02-01,2025-08-01 00:00:00,dates_for_filing,01FEB21,F,4.4955509924709105,Certain Religious Workers
EB5_HIGHUNEMP,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(High Unemployment: NH, RH - 10%)"
EB5_INFRA,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Infrastructure: RI - 2%)"
EB5_RURAL,2025-08-01,2025-08-01 00:00:00,dates_for_filing,C,C,0.0,"5th Set Aside:
(Rural: NR, RR - 20%)"
EB5_UNRESERVED,2022-04-01,2025-08-01 00:00:00,dates_for_filing,01APR22,F,3.3347022587268995,"5th Unreserved
(including C5, T5, I5, R5)"
